instruction,intent
[INT] [BOT]  [USR] Hey can i get the status of my latest order?,track_order
"[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] Yeah, the order ID is 121212.",give_order_id
[INT] [BOT]  [USR] I want to get the status of order 12121.,track_order
[INT] [BOT]  [USR] Can you share the details of an order?,track_order
"[INT] track_order [BOT] Yeah can you provide me with the order ID? [USR] Yeah, I will share the order ID. It is 212131413.",give_order_id
[INT] [BOT]  [USR] Could you tell me the status of my recent order?,track_order
[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] The order ID is 54321,give_order_id
[INT] [BOT]  [USR] I want to know where my order is. Can you help me?,track_order
[INT] track_order [BOT] Absolutely! Could you provide me with the order number? [USR] Yeah the order number is 987654321,give_order_id
[INT] [BOT]  [USR] Can you provide me with an update on my order?,track_order
[INT] track_order [BOT] For which order would you like an update? [USR] Order ID is 5643.,give_order_id
[INT] [BOT]  [USR] Where is my order? I placed it recently.,track_order
[INT] track_order [BOT] Can you provide me with the order ID? [USR] I looked up my order history and i found that the order id is 212142.,give_order_id
[INT] [BOT]  [USR] Can you help me track my order?,track_order
[INT] track_order [BOT] Sure! Could you provide me with your order number? [USR] It's 12345.,give_order_id
[INT] [BOT]  [USR] Where is my order?,track_order
[INT] track_order [BOT] Can you share the order number so I can check for you? [USR] It's 67890.,give_order_id
[INT] [BOT]  [USR] I’d like to know the status of my order.,track_order
[INT] track_order [BOT] Please provide your order number. [USR] It’s 23456.,give_order_id
[INT] [BOT]  [USR] I’d like to check the status of my order.,track_order
[INT] track_order [BOT] Please provide your order number. [USR] 67890.,give_order_id
[INT] [BOT]  [USR] Can you tell me where my order is?,track_order
[INT] track_order [BOT] Could you please provide the order number? [USR] My order number is 34567.,give_order_id
[INT] [BOT]  [USR] Where is my package? I need to track it.,track_order
[INT] track_order [BOT] Can you please share the order number so I can check? [USR] It's 98765.,give_order_id
[INT] [BOT]  [USR] Where is my order? I placed it last week. The order ID is 12912.,track_order
